iter	Passed	Remaining
0	145	145669
1	148	74202
2	150	50157
3	152	38080
4	155	30902
5	157	26097
6	159	22654
7	161	20060
8	163	18048
9	166	16434
10	168	15107
11	170	14010
12	172	13066
13	174	12272
14	176	11586
15	178	10977
16	180	10434
17	182	9950
18	184	9528
19	186	9152
20	188	8793
21	190	8479
22	193	8211
23	195	7948
24	197	7706
25	199	7482
26	201	7269
27	203	7072
28	206	6901
29	208	6728
30	209	6562
31	212	6419
32	214	6273
33	215	6133
34	218	6010
35	219	5888
36	221	5772
37	223	5667
38	225	5565
39	227	5465
40	229	5371
41	231	5286
42	233	5203
43	235	5123
44	237	5050
45	239	4974
46	241	4899
47	243	4833
48	245	4765
49	247	4702
50	250	4652
51	252	4603
52	255	4559
53	257	4512
54	259	4461
55	262	4416
56	264	4379
57	266	4336
58	269	4297
59	271	4253
60	273	4212
61	276	4178
62	278	4143
63	280	4103
64	283	4074
65	285	4039
66	288	4010
67	290	3980
68	292	3948
69	295	3925
70	298	3899
71	301	3888
72	304	3861
73	306	3832
74	309	3821
75	311	3793
76	314	3773
77	317	3749
78	319	3722
79	322	3703
80	326	3698
81	328	3681
82	331	3662
83	334	3643
84	337	3631
85	340	3617
86	343	3599
87	345	3577
88	347	3559
89	351	3549
90	354	3538
91	356	3520
92	359	3505
93	362	3494
94	365	3481
95	368	3468
96	370	3449
97	372	3430
98	375	3414
99	377	3396
100	379	3380
101	382	3365
102	384	3348
103	386	3334
104	389	3317
105	391	3300
106	394	3289
107	397	3280
108	399	3267
109	401	3251
110	403	3234
111	406	3220
112	408	3205
113	410	3192
114	413	3180
115	415	3165
116	417	3150
117	419	3137
118	421	3123
119	424	3110
120	426	3098
121	428	3083
122	430	3069
123	432	3057
124	434	3042
125	436	3027
126	438	3015
127	440	3002
128	442	2988
129	444	2974
130	446	2962
131	448	2949
132	450	2935
133	452	2926
134	454	2914
135	456	2902
136	458	2890
137	461	2880
138	463	2870
139	465	2859
140	467	2849
141	469	2837
142	471	2826
143	473	2816
144	475	2804
145	477	2793
146	479	2783
147	481	2771
148	483	2761
149	485	2752
150	487	2743
151	489	2732
152	491	2722
153	494	2713
154	495	2703
155	497	2694
156	500	2685
157	501	2674
158	503	2664
159	505	2656
160	507	2647
161	509	2638
162	511	2628
163	514	2623
164	516	2614
165	519	2607
166	521	2601
167	523	2593
168	526	2588
169	528	2582
170	531	2576
171	533	2570
172	536	2562
173	538	2555
174	540	2548
175	542	2540
176	545	2534
177	547	2528
178	549	2521
179	551	2514
180	554	2507
181	556	2501
182	559	2497
183	561	2491
184	564	2484
185	566	2478
186	568	2473
187	571	2466
